State,County,Date Collected,Date Detected,HPAI Strain,Species
Utah,Washington,01/10/2024,08/20/2024,EA H5N1,Striped skunk
New Mexico,Bernalillo,02/23/2024,03/01/2024,EA/AM H5N1,Striped skunk
Oregon,Linn,12/19/2022,12/23/2022,EA/AM H5N1,Domestic cat
Oregon,Linn,12/27/2022,01/03/2023,EA/AM H5N1,Domestic cat
Nebraska,Madison,01/10/2023,01/13/2023,EA H5N1,Domestic cat
Nebraska,Madison,01/21/2023,01/27/2023,EA H5N1,Domestic cat
Wyoming,Hot Springs,03/22/2023,03/30/2023,EA/AM H5N1,Domestic cat
Nebraska,Buffalo,03/30/2023,04/03/2023,EA/AM H5N1,Domestic cat
South Dakota,Jerauld,10/07/2023,11/14/2023,EA H5N1,Domestic cat
South Dakota,Jerauld,10/07/2023,11/14/2023,EA H5N1,Domestic cat
South Dakota,Jerauld,10/07/2023,11/14/2023,EA H5N1,Domestic cat
South Dakota,Jerauld,10/07/2023,11/14/2023,EA H5N1,Domestic cat
South Dakota,Jerauld,10/07/2023,11/14/2023,EA H5N1,Domestic cat
South Dakota,Jerauld,10/07/2023,11/14/2023,EA H5N1,Domestic cat
Montana,Missoula,11/22/2023,11/28/2023,EA/AM H5N1,Domestic cat
Montana,Sanders,11/12/2022,02/12/2024,EA H5N1,Domestic cat
Montana,Treasure,02/09/2023,02/12/2024,EA H5N1,Domestic cat
Montana,Yellowstone,04/08/2023,02/12/2024,EA/AM H5N1,Domestic cat
Wyoming,Teton,12/08/2023,12/22/2023,EA/AM H5N1,Mountain lion
Florida,Brevard,12/28/2023,10/07/2024,EA H5N1,Bottlenose dolphin
Florida,Brevard,01/04/2024,10/07/2024,EA H5N1,Bottlenose dolphin
Florida,Brevard,01/04/2024,10/07/2024,EA H5N1,Bottlenose dolphin
Alaska,North Slope,09/23/2024,10/03/2024,EA H5N1,Red fox
Alaska,North Slope,09/27/2024,10/07/2024,EA H5,Red fox
Washington,Franklin,11/08/2024,12/05/2024,EA H5,House mouse
Montana,Powell,04/01/2024,12/06/2024,EA/AM H5N1,Mountain lion
Alaska,North Slope,12/01/2023,12/02/2024,EA H5N1,Polar bear
California,Tulare,11/22/2024,12/03/2024,EA H5N1,Domestic cat
Washington,Franklin,11/11/2024,12/06/2024,EA H5,Coyote
Washington,Mason,11/27/2024,12/04/2024,EA/AM H5N1,Mountain lion
Washington,Clallam,11/19/2024,12/06/2024,EA H5,Mountain lion
Washington,Mason,11/27/2024,12/04/2024,EA H5N1,Mountain lion
California,San Bernardino,12/04/2024,12/10/2024,EA H5N1,Domestic cat
Arizona,Maricopa,12/05/2024,12/12/2024,EA H5,Mountain lion
Utah,Cache,10/30/2024,12/13/2024,EA/AM H5N1,Domestic cat
Utah,Cache,10/30/2024,12/13/2024,EA H5,House mouse
Washington,Clallam,12/05/2024,12/18/2024,EA H5,Mountain lion
California,Fresno,12/09/2024,12/17/2024,EA H5N1,Domestic cat
Colorado,Denver<sup>1</sup>,12/17/2024,12/19/2024,EA H5N1,Tiger
California,Sacramento<sup>1</sup>,11/30/2024,12/18/2024,EA/AM H5N1,Bengal tiger
Washington,Mason,12/06/2024,12/16/2024,EA H5N1,Eurasian lynx
Washington,Mason,12/06/2024,12/16/2024,EA H5N1,Serval
Washington,Mason,12/06/2024,12/16/2024,EA H5N1,Serval
Washington,Mason,12/06/2024,12/16/2024,EA H5N1,Geoffroy's cat
Washington,Mason,12/09/2024,12/16/2024,EA H5N1,Bobcat
Washington,Mason,12/09/2024,12/16/2024,EA H5N1,Serval
Washington,Mason,11/29/2024,12/16/2024,EA H5N1,Mountain lion
Washington,Mason,11/30/2024,12/16/2024,EA H5N1,Mountain lion
Washington,Mason,11/30/2024,12/16/2024,EA H5N1,Hybrid tiger (Panthera)
Washington,Mason,12/08/2024,12/16/2024,EA H5N1,Canada lynx
Washington,Mason,12/09/2024,12/16/2024,EA H5N1,Savannah cat
Washington,Mason,12/02/2024,12/16/2024,EA H5N1,Serval
Washington,Mason,12/02/2024,12/16/2024,EA H5N1,Bobcat
Idaho,Ada<sup>1</sup>,11/19/2024,12/10/2024,EA/AM H5N1,Amur tiger
Minnesota,Morrison,12/06/2024,12/18/2024,EA H5N1,Domestic cat
California,Los Angeles,12/06/2024,12/27/2024,EA/AM H5N1,Domestic cat
Oregon,Washington,12/04/2024,12/19/2024,EA H5N1,Domestic cat
Colorado,Denver<sup>1</sup>,12/18/2024,12/23/2024,EA H5N1,Mountain lion
Washington,Mason,12/13/2024,12/24/2024,EA H5N1,Serval
Colorado,Denver<sup>1</sup>,12/19/2024,12/26/2024,EA H5N1,Fox sp.
Colorado,Denver<sup>1</sup>,12/19/2024,12/26/2024,EA H5,African lion
Colorado,Denver<sup>1</sup>,12/18/2024,12/26/2024,EA H5N1,Tiger
Nevada,Carson City<sup>1</sup>,12/10/2024,12/30/2024,EA H5N1,Mountain lion
Colorado,Larimer,12/20/2024,12/30/2024,EA H5,Bobcat
Washington,King,10/30/2024,12/10/2024,EA H5,Raccoon
California,Los Angeles,12/26/2024,12/31/2024,EA H5N1,Domestic cat
California,Sacramento<sup>1</sup>,12/06/2024,12/23/2024,EA H5N1,Serval
California,Los Angeles,12/26/2024,12/31/2024,EA H5N1,Domestic cat
Nebraska,Morrill,03/22/2024,01/06/2025,EA/AM H5N1,Mountain lion
Alaska,Juneau,11/08/2024,12/30/2024,EA H5,Ermine
Massachusetts,Essex,03/19/2024,12/11/2024,EA/AM H5N1,Harbor seal
California,Los Angeles,12/10/2024,12/23/2024,EA H5N1,Domestic cat
California,Santa Barbara,12/17/2024,01/02/2025,EA/AM H5N1,Domestic cat
California,Santa Barbara,12/12/2024,01/02/2025,EA/AM H5N1,Domestic cat
California,Los Angeles,12/14/2024,01/03/2025,EA/AM H5N1,Domestic cat
California,Los Angeles,12/14/2024,01/03/2025,EA/AM H5N1,Domestic cat
Colorado,Kit Carson,12/11/2024,01/03/2025,EA/AM H5N1,Domestic cat
Minnesota,Cottonwood,12/09/2024,01/02/2025,EA/AM H5N1,Domestic cat
Colorado,Adams,12/10/2024,01/03/2025,EA/AM H5N1,Domestic cat
California,Los Angeles,12/10/2024,01/03/2025,EA/AM H5N1,Domestic cat
California,Los Angeles,12/11/2024,01/03/2025,EA/AM H5N1,Domestic cat
California,Los Angeles,12/10/2024,01/03/2025,EA/AM H5N1,Domestic cat
South Dakota,Brookings,12/26/2024,12/31/2024,EA H5,Domestic cat
Florida,Brevard,12/31/2023,12/23/2024,EA H5N1,Bottlenose dolphin
Florida,Brevard,01/09/2024,12/23/2024,EA H5N1,Bottlenose dolphin
Oregon,Clackamas,11/15/2024,01/13/2025,EA H5,House mouse
Washington,Franklin,11/16/2024,01/10/2025,EA H5,House mouse
Washington,Franklin,11/16/2024,01/10/2025,EA H5,Deer mouse
Washington,Franklin,11/14/2024,01/10/2025,EA H5,Deer mouse
Washington,Franklin,11/14/2024,01/10/2025,EA H5,House mouse
Washington,Franklin,11/15/2024,01/10/2025,EA H5,Deer mouse
Illinois,Cook,01/09/2025,01/14/2025,EA H5,Harbor seal
South Dakota,Lake,12/30/2024,01/13/2025,EA H5,Domestic cat
Louisiana,Orleans,01/07/2025,01/14/2025,EA H5N1,Domestic cat
Kansas,Pottawatomie,01/09/2025,01/14/2025,EA H5,Domestic cat
Iowa,Hamilton,01/08/2025,01/13/2025,EA H5,Domestic cat
Michigan,Ingham<sup>1</sup>,01/06/2025,01/13/2025,EA H5N1,Serval
California,Los Angeles,01/08/2025,01/15/2025,EA H5N1,Domestic cat
California,Los Angeles,01/08/2025,01/15/2025,EA H5N1,Domestic cat
New York,Albany,12/30/2024,01/21/2025,EA H5,Eastern gray squirrel
Florida,Brevard,12/30/2024,01/24/2025,EA H5,Bottlenose dolphin
Florida,Brevard,01/01/2025,01/24/2025,EA H5,Bottlenose dolphin
North Dakota,Dickey,05/23/2022,06/02/2022,EA/AM H5N1,Red fox
Oregon,Washington,01/09/2025,01/17/2025,EA H5,Domestic cat
California,Contra Costa,01/15/2025,01/24/2025,EA H5,Domestic cat
South Dakota,Faulk,01/16/2025,01/23/2025,EA H5,Domestic cat
South Dakota,Faulk,01/16/2025,01/23/2025,EA H5,Domestic cat
Pennsylvania,Lehigh,01/04/2025,01/23/2025,EA H5,Red fox
Delaware,New Castle,01/14/2025,01/23/2025,EA H5,Red fox
Colorado,Douglas,01/26/2025,01/31/2025,EA H5N1,Domestic cat
Montana,Flathead,12/05/2023,02/10/2025,EA/AM H5N1,Domestic cat
California,San Mateo,01/29/2025,02/05/2025,EA H5,Domestic cat
Oregon,Multnomah,02/03/2025,02/10/2025,EA H5N1,Domestic cat
California,Riverside,01/31/2025,02/10/2025,EA H5,Black rat
California,Riverside,01/31/2025,02/10/2025,EA H5,Black rat
California,Riverside,01/30/2025,02/10/2025,EA H5,Black rat
Oregon,Multnomah,02/05/2025,02/11/2025,EA H5N1,Domestic cat
North Dakota,Burleigh,01/28/2025,02/13/2025,EA H5N1,Fox sp.
California,Riverside,01/29/2025,02/14/2025,EA H5,Black rat
Washington,Whatcom,02/06/2025,02/12/2025,EA H5,Bobcat
Massachusetts,Bristol,02/05/2025,02/11/2025,EA H5,Harbor seal
Wisconsin,Dane<sup>1</sup>,02/05/2025,02/11/2025,EA H5,Mountain lion
Wisconsin,Dane<sup>1</sup>,02/05/2025,02/11/2025,EA H5,Mountain lion
Colorado,Adams,01/31/2025,02/14/2025,EA H5,Domestic cat
New Mexico,Curry,02/11/2025,02/18/2025,EA H5,Domestic cat
Oregon,Clackamas,02/12/2025,02/18/2025,EA H5N1,Domestic cat
Oregon,Clackamas,02/12/2025,02/18/2025,EA H5N1,Domestic cat
Oregon,Clackamas,02/12/2025,02/18/2025,EA H5N1,Domestic cat
Kansas,Rooks,02/07/2025,02/19/2025,EA H5,Domestic cat
California,Imperial,01/22/2025,02/20/2025,EA H5N1,Domestic cat
Oregon,Clackamas,02/14/2025,02/21/2025,EA H5N1,Domestic cat
Oregon,Clackamas,02/14/2025,02/21/2025,EA H5N1,Domestic cat
Oregon,Clackamas,02/14/2025,02/21/2025,EA H5N1,Domestic cat
Ohio,Darke,02/05/2025,02/20/2025,EA H5N1,House mouse
